COD_CHAVE;DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;SG_UF;SG_UE;NM_UE;CD_CARGO;DS_CARGO;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NR_FEDERACAO;NM_FEDERACAO;SG_FEDERACAO;DS_COMPOSICAO_FEDERACAO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;CD_SITUACAO_LEGENDA;DS_SITUACAO
2000016816094009;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;RN;RN;RIO GRANDE DO NORTE;9;1º SUPLENTE;COLIGAÇÃO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;-1;#NULO#;#NULO#;#NULO#;2,00002E+11;COLIGAÇÃO VONTADE DO POVO;AVANTE / PSB / AGIR;D;DEFERIDO
1400016833712303;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;PA;PA;PARÁ;3;GOVERNADOR;COLIGAÇÃO;23;CIDADANIA;CIDADANIA;1;Federação PSDB Cidadania;PSDB/CIDADANIA;CIDADANIA / PSDB;1,40002E+11;PRA SEGUIR EM FRENTE;MDB / PSDB/CIDADANIA / PT/PC DO B/PV / PP / PSD / PDT / REPUBLICANOS / AVANTE / PODE / UNIÃO / DC / PTB / PSB;D;DEFERIDO
2300016815434306;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;RR;RR;RORAIMA;6;DEPUTADO FEDERAL;FEDERAÇÃO;43;PV;PARTIDO VERDE;2;Federação Brasil da Esperança - FE BRASIL;PT/PC DO B/PV;PT / PV / PC DO B;2,30002E+11;#NULO#;PT/PC DO B/PV;D;DEFERIDO
200016845994403;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;AL;AL;ALAGOAS;3;GOVERNADOR;COLIGAÇÃO;44;UNIÃO;UNIÃO BRASIL;-1;#NULO#;#NULO#;#NULO#;20001684599;ALAGOAS MERECE MAIS;UNIÃO / PSDB/CIDADANIA / PSB / PP;D;DEFERIDO
100016808231803;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;AC;AC;ACRE;3;GOVERNADOR;FEDERAÇÃO;18;REDE;REDE SUSTENTABILIDADE;3;Federação PSOL REDE;PSOL/REDE;REDE / PSOL;10001680823;#NULO#;PSOL/REDE;D;DEFERIDO
1200016833325507;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;MS;MS;MATO GROSSO DO SUL;7;DEPUTADO ESTADUAL;PARTIDO ISOLADO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;-1;#NULO#;#NULO#;#NULO#;1,20002E+11;#NULO#;PSD;D;DEFERIDO
1700016820791310;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;PE;PE;PERNAMBUCO;10;2º SUPLENTE;COLIGAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;2;Federação Brasil da Esperança - FE BRASIL;PT/PC DO B/PV;PT / PV / PC DO B;1,70002E+11;FRENTE POPULAR DE PERNAMBUCO;PT/PC DO B/PV / REPUBLICANOS / MDB / PP / PDT / PSB;DR;DEFERIDO COM RECURSO
300016821881104;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;AP;AP;AMAPÁ;4;VICE-GOVERNADOR;COLIGAÇÃO;11;PP;PROGRESSISTAS;-1;#NULO#;#NULO#;#NULO#;30001682188;AMAPÁ PARA TODOS ;PSDB/CIDADANIA / REPUBLICANOS / PP / PL / PDT / UNIÃO / SOLIDARIEDADE;D;DEFERIDO
300016830455503;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;AP;AP;AMAPÁ;3;GOVERNADOR;COLIGAÇÃO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;-1;#NULO#;#NULO#;#NULO#;30001683045;PRA MUDAR DE VERDADE;PTB / PSC / PROS / PSD / AGIR;D;DEFERIDO
1000016854502806;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;MA;MA;MARANHÃO;6;DEPUTADO FEDERAL;PARTIDO ISOLADO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;-1;#NULO#;#NULO#;#NULO#;1,00002E+11;#NULO#;PRTB;D;DEFERIDO
